card_name	set_name	printing
Rakshasa Vizier	Khans of Tarkir	
Rubblebelt Raiders	Gatecrash	
Vedalken Mastermind	Fifth Dawn	
Vedalken Mastermind	Fifth Dawn	
Vedalken Mastermind	Fifth Dawn	
Vedalken Mastermind	Fifth Dawn	
Whispering Madness	Gatecrash	
Armageddon Clock	Fourth Edition	
Trait Doctoring	Dragon's Maze	
Dictate of the Twin Gods	Journey into Nyx	
Necropolis Fiend	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Opulent Palace	Khans of Tarkir	
Opulent Palace	Khans of Tarkir	
Whispering Madness	Gatecrash	
Mardu Shadowspear	Fate Reforged	
Vision Charm	Visions	
Blight	Fourth Edition	
Blight	Fourth Edition	
Kismet	Fifth Edition	
Kismet	Fifth Edition	
Hamletback Goliath	Magic 2013 (M13)	
Jackal Pup	Tempest	
Jackal Pup	Tempest	
Jackal Pup	Tempest	
Abduction	Weatherlight	
Man-o'-War	Visions	
Man-o'-War	Visions	
Man-o'-War	Visions	
Opulent Palace	Khans of Tarkir	
Opulent Palace	Khans of Tarkir	
Necropolis Fiend	Khans of Tarkir	
Ashen Ghoul	Ice Age	
Ashen Ghoul	Ice Age	
Ashen Ghoul	Ice Age	
Ashen Ghoul	Ice Age	
Red Elemental Blast	Fourth Edition	
Opulent Palace	Khans of Tarkir	
Deepfathom Skulker	Oath of the Gatewatch	
Whispering Madness	Gatecrash	
Whispering Madness	Gatecrash	
Sanctified Charge	Magic 2015 (M15)	Foil
Crosstown Courier	Return to Ravnica	Foil
Survey the Wreckage	Return to Ravnica	Foil
Wall of Fire	Magic 2015 (M15)	Foil
Alpine Grizzly	Khans of Tarkir	Foil
Abomination of Gudul	Khans of Tarkir	Foil
Gustcloak Savior	Elspeth vs. Kiora	
Realmwright	Gatecrash	
Realmwright	Gatecrash	
Trait Doctoring	Dragon's Maze	
Necropolis Fiend	Khans of Tarkir	
Necropolis Fiend	Khans of Tarkir	
Retribution of the Ancients	Khans of Tarkir	
Aggressive Mining	Magic 2015 (M15)	
Arcbond	Fate Reforged	
Dictate of the Twin Gods	Journey into Nyx	
Dictate of the Twin Gods	Journey into Nyx	
Molten Primordial	Gatecrash	
Azor's Elocutors	Return to Ravnica	
Mystic Genesis	Gatecrash	
Rubblehulk	Gatecrash	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Temur Ascendancy	Khans of Tarkir	
Whispering Madness	Gatecrash	
Deathmark	Coldsnap	
Bottomless Pit	Stronghold	
Bottomless Pit	Stronghold	
Jeweled Bird	Chronicles	
Foundry Champion	Gatecrash	
Mindreaver	Born of the Gods	
Jeskai Windscout	Khans of Tarkir	Foil
Instill Energy	Fourth Edition	
Instill Energy	Fourth Edition	
Kismet	Fourth Edition	
Kismet	Fourth Edition	
Dream Tides	Visions	
Dream Tides	Visions	
Dream Tides	Visions	
Illusory Angel	Magic 2015 (M15)	
Sky Diamond	Mirage	
Sky Diamond	Mirage	
Songs of the Damned	Ice Age	
Bottomless Pit	Stronghold	
Bottomless Pit	Stronghold	
Lobotomy	Tempest	
Lobotomy	Tempest	
Lobotomy	Tempest	
Lobotomy	Tempest	
Show of Valor	Magic 2014 (M14)	Foil
Faerie Mechanist	Conflux	Foil
Shambling Attendants	Khans of Tarkir	Foil
Sinister Possession	Dragon's Maze	Foil
Thrashing Mossdog	Dragon's Maze	Foil
Gruesome Slaughter	Battle for Zendikar	
Shield of the Avatar	Magic 2015 (M15)	
Arbiter of the Ideal	Born of the Gods	
Daring Thief	Journey into Nyx	
Domestication	Magic 2014 (M14)	
Necromancer's Stockpile	Magic 2015 (M15)	
Necromancer's Stockpile	Magic 2015 (M15)	
Forgestoker Dragon	Born of the Gods	
Oracle of Bones	Born of the Gods	
Siege Dragon	Magic 2015 (M15)	
Siege Dragon	Magic 2015 (M15)	
Fated Intervention	Born of the Gods	
Hunter's Prowess	Born of the Gods	
Sandsteppe Mastodon	Fate Reforged	
Abzan Ascendancy	Khans of Tarkir	
Abzan Ascendancy	Khans of Tarkir	
Flying Crane Technique	Khans of Tarkir	
Foundry Champion	Gatecrash	
Ready // Willing	Dragon's Maze	
Sage of the Inward Eye	Khans of Tarkir	
Sage of the Inward Eye	Khans of Tarkir	
Sage of the Inward Eye	Khans of Tarkir	
Signal the Clans	Gatecrash	
Signal the Clans	Gatecrash	
El-Hajjaj	Fourth Edition	
Jalira, Master Polymorphist	Magic 2015 (M15)	
Tomb of the Spirit Dragon	Khans of Tarkir	
Destructive Revelry	Theros	
Brave the Sands	Khans of Tarkir	
Brave the Sands	Khans of Tarkir	
Cancel	Magic 2015 (M15)	
Blood-Chin Rager	Dragons of Tarkir	
Noble Benefactor	Weatherlight	
Noble Benefactor	Weatherlight	
Noble Benefactor	Weatherlight	
Tinder Wall	Ice Age	
Tinder Wall	Ice Age	
Tinder Wall	Ice Age	
Tinder Wall	Ice Age	
Fire Drake	Fifth Edition	
Viashino Sandstalker	Visions	
Viashino Sandstalker	Visions	
Viashino Sandstalker	Visions	
Fleshbag Marauder	Magic Origins	
Fleshbag Marauder	Magic Origins	
Doom Blade	Magic 2011 (M11)	
Doom Blade	Magic 2011 (M11)	
Doom Blade	Magic 2011 (M11)	
Doom Blade	Magic 2011 (M11)	
Brave the Sands	Khans of Tarkir	
Immolating Glare	Oath of the Gatewatch	
Skin Invasion	Shadows Over Innistrad	
Skin Invasion	Shadows Over Innistrad	
Skin Invasion	Shadows Over Innistrad	
Skin Invasion	Shadows Over Innistrad	
Skin Invasion	Shadows Over Innistrad	
Blistercoil Weird	Return to Ravnica	
Ultimate Price	Return to Ravnica	
Iona's Judgment	Worldwake	Foil
Ridge Rannet	Shards of Alara	Foil
Culling Mark	Born of the Gods	Foil
Guardian of the Ages	Magic 2014 (M14)	
Guardian of the Ages	Magic 2014 (M14)	
Jalira, Master Polymorphist	Magic 2015 (M15)	
Master of Predicaments	Magic 2015 (M15)	
Master of Predicaments	Magic 2015 (M15)	
Meletis Charlatan	Theros	
Sphinx of the Chimes	Return to Ravnica	
Abhorrent Overlord	Theros	
Goblin Diplomats	Magic 2014 (M14)	
Goblin Diplomats	Magic 2014 (M14)	
Harness by Force	Journey into Nyx	
Ogre Battledriver	Magic 2014 (M14)	
Ogre Battledriver	Magic 2014 (M14)	
Biomass Mutation	Gatecrash	
Phytotitan	Magic 2015 (M15)	
Archon of the Triumvirate	Return to Ravnica	
Biomass Mutation	Gatecrash	
Gruul Ragebeast	Gatecrash	
Steam Augury	Theros	
Steam Augury	Theros	
Steam Augury	Theros	
Steam Augury	Theros	
Dark Deal	Fate Reforged	
Dark Deal	Fate Reforged	
Dark Deal	Fate Reforged	
Mercurial Pretender	Magic 2015 (M15)	
Dark Deal	Fate Reforged	
Jeskai Charm	Khans of Tarkir	
Victim of Night	Innistrad	
Interdict	Tempest	
Interdict	Tempest	
Sea Sprite	Homelands	
Seeker of Skybreak	Tempest	
Seeker of Skybreak	Tempest	
Seeker of Skybreak	Tempest	
Seeker of Skybreak	Tempest	
Seeker of Skybreak	Tempest	
Crypt Cobra	Mirage	
Soltari Crusader	Tempest	
Black Knight	Fourth Edition	
Black Knight	Fourth Edition	
Marble Diamond	Mirage	
Marble Diamond	Mirage	
Marble Diamond	Mirage	
Marble Diamond	Mirage	
Smother	Worldwake	
Smother	Worldwake	
Smother	Worldwake	
Smother	Worldwake	
Pyxis of Pandemonium	Theros	
Pyxis of Pandemonium	Theros	
Pyxis of Pandemonium	Theros	
Pyxis of Pandemonium	Theros	
Gnarlroot Trapper	Magic Origins	
Horribly Awry	Battle for Zendikar	
Wolf Token	Modern Masters 2015	
Checklist Card 1	Shadows Over Innistrad	
Checklist Card 1	Shadows Over Innistrad	
Trained Condor	Magic 2014 (M14)	Foil
Drag Down	Conflux	Foil
Miner's Bane	Magic 2015 (M15)	Foil
Akroan Horse	Theros	
Avarice Amulet	Magic 2015 (M15)	
Cruel Sadist	Magic 2015 (M15)	
Cruel Sadist	Magic 2015 (M15)	
Cruel Sadist	Magic 2015 (M15)	
Goblin Kaboomist	Magic 2015 (M15)	
Hoarding Dragon	Magic 2015 (M15)	
Righteous Authority	Return to Ravnica	
Dakra Mystic	Journey into Nyx	
Dakra Mystic	Journey into Nyx	
Fling	Stronghold	
Fling	Stronghold	
Fling	Stronghold	
Fling	Stronghold	
Nyx Weaver	Journey into Nyx	
Phalanx Leader	Theros	
Cloudform	Fate Reforged	
Rootwater Diver	Tempest	
Circling Vultures	Weatherlight	
Swamp Mosquito	Alliances	
Swamp Mosquito	Alliances	
Wall of Stone	Fifth Edition	
Circle of Protection: Green	Fifth Edition	
Dakra Mystic	Journey into Nyx	
Dakra Mystic	Journey into Nyx	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Apprentice Wizard	Fourth Edition	
Rolling Thunder	Tempest	
Rolling Thunder	Tempest	
Sultai Charm	Khans of Tarkir	
Phyrexian Furnace	Weatherlight	
Phyrexian Furnace	Weatherlight	
Phyrexian Furnace	Weatherlight	
Phyrexian Furnace	Weatherlight	
Sylvan Messenger	Magic Origins	
Sylvan Messenger	Magic Origins	
Sultai Charm	Khans of Tarkir	
Conjured Currency	Return to Ravnica	
Ember Swallower	Theros	
Guild Feud	Return to Ravnica	
Anthousa, Setessan Hero	Theros	
Trinket Mage	Scars of Mirrodin	
Trinket Mage	Scars of Mirrodin	
Chief of the Edge	Khans of Tarkir	
Nivix Cyclops	Dragon's Maze	
Thassa's Rebuff	Born of the Gods	
Thrull Parasite	Gatecrash	
Humble Defector	Fate Reforged	
Sarkhan's Triumph	Dragons of Tarkir	
Hurricane	Fourth Edition	
Skyshroud Ranger	Tempest	
Skyshroud Ranger	Tempest	
Skyshroud Ranger	Tempest	
Quirion Elves	Mirage	
Disturbed Burial	Tempest	
Evil Presence	Fifth Edition	
Pestilence	Fifth Edition	
Pestilence Rats	Ice Age	
Pestilence Rats	Ice Age	
Pestilence Rats	Ice Age	
Pestilence Rats	Ice Age	
Aleatory	Mirage	
Keldon Warlord	Fourth Edition	
Soul's Fire	Shards of Alara	
Soul's Fire	Shards of Alara	
Soul's Fire	Shards of Alara	
Soul's Fire	Shards of Alara	
Aether Storm	Homelands	
Aether Storm	Homelands	
Flashfires	Fifth Edition	
Desert Twister	Fourth Edition	
Killer Bees	Fourth Edition	
Memory Lapse	Seventh Edition	
Memory Lapse	Seventh Edition	
Memory Lapse	Seventh Edition	
Memory Lapse	Seventh Edition	
Despise	Khans of Tarkir	
Nissa's Pilgrimage	Magic Origins	
Pelakka Wurm	Modern Masters 2015	
Stormblood Berserker	Modern Masters 2015	
Necrogenesis	Modern Masters 2015	
Trinket Mage	Scars of Mirrodin	
Trinket Mage	Scars of Mirrodin	
Serene Steward	Battle for Zendikar	
Iona's Blessing	Oath of the Gatewatch	
Wall of Resurgence	Oath of the Gatewatch	
Wall of Resurgence	Oath of the Gatewatch	
Pestilence Rats	Ice Age	
Nephalia Academy	Eldritch Moon	
Nephalia Academy	Eldritch Moon	
Nephalia Academy	Eldritch Moon	
Nephalia Academy	Eldritch Moon	
Goblinslide	Khans of Tarkir	
Aspect of Hydra	Born of the Gods	
Aspect of Hydra	Born of the Gods	
Mind Bomb	Fifth Edition	
Siren's Call	Fourth Edition	
Steal Artifact	Fifth Edition	
Wall of Air	Fourth Edition	
Arctic Wolves	Weatherlight	
Heartwood Treefolk	Tempest	
Vitalize	Weatherlight	
Vitalize	Weatherlight	
Vitalize	Weatherlight	
Wall of Ice	Fourth Edition	
Wild Growth	Fourth Edition	
Wild Growth	Fourth Edition	
Wild Growth	Fourth Edition	
Wild Growth	Fourth Edition	
Cursed Land	Fourth Edition	
Cursed Land	Fourth Edition	
Ghost Hounds	Homelands	
Ghost Hounds	Homelands	
Necratog	Weatherlight	
Necratog	Weatherlight	
Necratog	Weatherlight	
Flame Wave	Stronghold	
Flame Wave	Stronghold	
Joven	Homelands	
Circle of Protection: Artifacts	Fourth Edition	
Disenchant	Mirage	
Disenchant	Mirage	
Illumination	Mirage	
Illumination	Mirage	
Peace of Mind	Exodus	
