card_name	set_name	printing
Teetering Peaks	PDS: Fire and Lightning	Foil
Riddlesmith	Scars of Mirrodin	
Riddlesmith	Scars of Mirrodin	
Riddlesmith	Scars of Mirrodin	
Riddlesmith	Scars of Mirrodin	
Syphon Soul	Legends	
Syphon Soul	Legends	
Toil // Trouble	Dragon's Maze	
Goblin Electromancer	Return to Ravnica	
Warden of the Eye	Khans of Tarkir	
Tapestry of the Ages	Dragons of Tarkir	
Akroan Phalanx	Born of the Gods	
Honor's Reward	Fate Reforged	
Orator of Ojutai	Dragons of Tarkir	
Duress	Dragons of Tarkir	
Gurmag Swiftwing	Khans of Tarkir	
Gurmag Swiftwing	Khans of Tarkir	
Desperate Ravings	Innistrad	
Horde Ambusher	Khans of Tarkir	
Qal Sisma Behemoth	Dragons of Tarkir	
Spite of Mogis	Journey into Nyx	
Fruit of the First Tree	Fate Reforged	
Temur Charger	Khans of Tarkir	
Psychic Venom	Fifth Edition	
Shrieking Drake	Visions	
Shrieking Drake	Visions	
Blighted Shaman	Mirage	
Initiates of the Ebon Hand	Fifth Edition	
Plague Rats	Fourth Edition	
Plague Rats	Fourth Edition	
Plague Rats	Fourth Edition	
Spinning Darkness	Weatherlight	
Spinning Darkness	Weatherlight	
Spinning Darkness	Weatherlight	
Takklemaggot	Chronicles	
Takklemaggot	Chronicles	
Blind Fury	Mirage	
Cinder Giant	Weatherlight	
Hearth Charm	Visions	
Hearth Charm	Visions	
Hearth Charm	Visions	
Hearth Charm	Visions	
Mob Mentality	Visions	
Orcish Oriflamme	Fifth Edition	
Wall of Lava	Ice Age	
Wall of Lava	Ice Age	
Circle of Protection: Green	Fourth Edition	
Circle of Protection: Green	Fourth Edition	
Circle of Protection: Green	Fourth Edition	
Circle of Protection: Green	Fourth Edition	
Circle of Protection: Green	Fourth Edition	
Glimpse the Sun God	Born of the Gods	
Blue Elemental Blast	Fourth Edition	
Blue Elemental Blast	Fourth Edition	
Blue Elemental Blast	Fourth Edition	
Blue Elemental Blast	Fourth Edition	
Boomerang	Mirage	
Boomerang	Mirage	
Boomerang	Mirage	
Boomerang	Mirage	
Boomerang	Mirage	
Volcanic Geyser	Mirage	
Shock	Stronghold	
Shock	Stronghold	
Shock	Stronghold	
Shock	Stronghold	
Wistful Thinking	Planar Chaos	
Wistful Thinking	Planar Chaos	
Wistful Thinking	Planar Chaos	
Wistful Thinking	Planar Chaos	
Walking Corpse	Magic 2015 (M15)	
Dragon Mask	Visions	
Wolf Token	Born of the Gods	
Warrior Token (Sword & Shield)	Khans of Tarkir	
Shock	Stronghold	
Shock	Stronghold	
Mulch	Stronghold	
Abandon Hope	Tempest	
Abandon Hope	Tempest	
Agonizing Memories	Weatherlight	
Liliana's Specter	Conspiracy	
Liliana's Specter	Conspiracy	
Liliana's Specter	Conspiracy	
Liliana's Specter	Conspiracy	
Kozilek's Predator	Modern Masters 2015	
Blood Ogre	Modern Masters 2015	
Nest Invader	Modern Masters 2015	
Raise the Alarm	Modern Masters 2015	
Sign in Blood	Modern Masters 2015	
Rising Miasma	Battle for Zendikar	
Portent	Ice Age	
Portent	Ice Age	
Portent	Ice Age	
Portent	Ice Age	
Pyrite Spellbomb	Mirrodin	
Pyrite Spellbomb	Mirrodin	
Dispel	Battle for Zendikar	
Dispel	Battle for Zendikar	
Baloth Null	Oath of the Gatewatch	
Baloth Null	Oath of the Gatewatch	
Fumarole	Ice Age	
Crawling Sensation	Shadows Over Innistrad	
Thraben Inspector	Shadows Over Innistrad	
Wolf Token	Shadows Over Innistrad	
Duress	Dragons of Tarkir	
Battle Mastery	Dragons of Tarkir	
Strongarm Monk	Dragons of Tarkir	
Give // Take	Dragon's Maze	
Ride Down	Khans of Tarkir	
Armament Corps	Khans of Tarkir	
Highspire Mantis	Khans of Tarkir	
Mardu Roughrider	Khans of Tarkir	
Ride Down	Khans of Tarkir	
Ride Down	Khans of Tarkir	
Briber's Purse	Khans of Tarkir	
Briber's Purse	Khans of Tarkir	
Goblin Boom Keg	Fate Reforged	
Kolaghan Monument	Dragons of Tarkir	
Silumgar Monument	Dragons of Tarkir	
Ugin's Construct	Fate Reforged	
Witness of the Ages	Khans of Tarkir	
Firehoof Cavalry	Khans of Tarkir	
Firehoof Cavalry	Khans of Tarkir	
Ghostblade Eidolon	Born of the Gods	
Ghostblade Eidolon	Born of the Gods	
God-Favored General	Born of the Gods	
Lagonna-Band Trailblazer	Journey into Nyx	
Take Up Arms	Khans of Tarkir	
Timely Hordemate	Khans of Tarkir	
Venerable Lammasu	Khans of Tarkir	
Wandering Champion	Fate Reforged	
Watcher of the Roost	Khans of Tarkir	
Watcher of the Roost	Khans of Tarkir	
Blinding Spray	Khans of Tarkir	
Blinding Spray	Khans of Tarkir	
Dissipate	Innistrad	
Dragon's Eye Savants	Khans of Tarkir	
Dragon's Eye Savants	Khans of Tarkir	
Hour of Need	Journey into Nyx	
Jeskai Elder	Khans of Tarkir	
Mistfire Weaver	Khans of Tarkir	
Mistfire Weaver	Khans of Tarkir	
Quiet Contemplation	Khans of Tarkir	
Set Adrift	Khans of Tarkir	
Waterwhirl	Khans of Tarkir	
Dead Drop	Khans of Tarkir	
Dead Drop	Khans of Tarkir	
Dead Drop	Khans of Tarkir	
Qarsi High Priest	Fate Reforged	
Raiders' Spoils	Khans of Tarkir	
Dragon Grip	Khans of Tarkir	
Mardu Blazebringer	Khans of Tarkir	
Harrow	Commander 2014	
Harrow	Commander 2014	
Harrow	Commander 2014	
Harrow	Commander 2014	
Harrow	Commander 2014	
Harrow	Commander 2014	
Make a Wish	Innistrad	
Pine Walker	Khans of Tarkir	
Pine Walker	Khans of Tarkir	
Roar of Challenge	Khans of Tarkir	
Skyreaping	Born of the Gods	
Sultai Flayer	Khans of Tarkir	
Whisperer of the Wilds	Fate Reforged	
Mind Bomb	Fourth Edition	
Mind Bomb	Fourth Edition	
Mind Bomb	Fourth Edition	
Ovinomancer	Visions	
Ovinomancer	Visions	
Ovinomancer	Visions	
Prodigal Sorcerer	Fourth Edition	
Prodigal Sorcerer	Fourth Edition	
Sapphire Charm	Mirage	
Skyshroud Condor	Tempest	
Stinging Licid	Tempest	
Stinging Licid	Tempest	
Stinging Licid	Tempest	
Timid Drake	Weatherlight	
Twiddle	Fourth Edition	
Twiddle	Fourth Edition	
Twiddle	Fourth Edition	
Twiddle	Fourth Edition	
Twiddle	Fourth Edition	
Twiddle	Fourth Edition	
Twiddle	Fourth Edition	
Emerald Charm	Visions	
Emerald Charm	Visions	
Emerald Charm	Visions	
Kyscu Drake	Visions	
Nettletooth Djinn	Mirage	
Nettletooth Djinn	Mirage	
Nettletooth Djinn	Mirage	
Nettletooth Djinn	Mirage	
Pygmy Troll	Exodus	
Rampant Growth	Mirage	
Rampant Growth	Mirage	
Serene Heart	Mirage	
Serene Heart	Mirage	
Serene Heart	Mirage	
Serene Heart	Mirage	
Stream of Life	Fourth Edition	
Stream of Life	Fourth Edition	
Stream of Life	Fourth Edition	
Wall of Brambles	Fourth Edition	
Wall of Brambles	Fourth Edition	
Winter Blast	Fourth Edition	
Winter Blast	Fourth Edition	
Woolly Spider	Ice Age	
Fallen Askari	Visions	
Festering Evil	Weatherlight	
Festering Evil	Weatherlight	
Kaervek's Hex	Mirage	
Mindstab Thrull	Fifth Edition	
Nocturnal Raid	Mirage	
Nocturnal Raid	Mirage	
Nocturnal Raid	Mirage	
Odylic Wraith	Weatherlight	
Pit Scorpion	Fourth Edition	
Pit Scorpion	Fourth Edition	
Pit Scorpion	Fourth Edition	
Pit Scorpion	Fourth Edition	
Pit Scorpion	Fourth Edition	
Souldrinker	Tempest	
Thrull Retainer	Fallen Empires	
Blood Lust	Fourth Edition	
Blood Lust	Fourth Edition	
Blood Lust	Fourth Edition	
Blood Lust	Fourth Edition	
Chandler	Homelands	
Melting	Ice Age	
Orcish Captain	Fallen Empires	
Primordial Ooze	Fifth Edition	
Pyrotechnics	Fourth Edition	
Stone Spirit	Ice Age	
Wall of Dust	Fourth Edition	
Wall of Stone	Fourth Edition	
Wall of Stone	Fourth Edition	
Abbey Matron	Homelands	
Abbey Matron	Homelands	
Abbey Matron	Homelands	
Circle of Protection: White	Fourth Edition	
Circle of Protection: White	Fourth Edition	
Circle of Protection: White	Fourth Edition	
Circle of Protection: White	Fourth Edition	
Combat Medic (Beard Jr.)	Fallen Empires	
Elite Javelineer	Tempest	
Elite Javelineer	Tempest	
Elite Javelineer	Tempest	
Empyrial Armor	Weatherlight	
Empyrial Armor	Weatherlight	
Farrel's Zealot	Fallen Empires	
Freewind Falcon	Visions	
Freewind Falcon	Visions	
Freewind Falcon	Visions	
Hope Charm	Visions	
Hope Charm	Visions	
Hope Charm	Visions	
Iron Tusk Elephant	Mirage	
Iron Tusk Elephant	Mirage	
Iron Tusk Elephant	Mirage	
Karma	Fourth Edition	
Karma	Fourth Edition	
Karma	Fourth Edition	
Karma	Fourth Edition	
Mangara's Blessing	Mirage	
Mangara's Blessing	Mirage	
Pacifism	Mirage	
Pacifism	Mirage	
Pacifism	Mirage	
Righteous Aura	Visions	
Righteous Aura	Visions	
Serene Offering	Tempest	
Serra Inquisitors	Homelands	
Serra Inquisitors	Homelands	
Shadowbane	Mirage	
Wall of Resistance	Mirage	
Wall of Resistance	Mirage	
Wall of Resistance	Mirage	
Disentomb	Magic 2013 (M13)	
Phyrexian Hulk	Magic 2013 (M13)	
Betrayal	Visions	
Betrayal	Visions	
Dream Cache	Mirage	
Dream Cache	Mirage	
Dream Cache	Mirage	
Dream Cache	Mirage	
Energy Flux	Fourth Edition	
Energy Tap	Fourth Edition	
Energy Tap	Fourth Edition	
Energy Tap	Fourth Edition	
Energy Tap	Fourth Edition	
Energy Tap	Fourth Edition	
Fylamarid	Tempest	
Fireball	Fourth Edition	
Fireball	Fourth Edition	
Fireball	Fourth Edition	
Fireball	Fourth Edition	
Fireball	Fourth Edition	
Stone Rain	Tempest	
Stone Rain	Tempest	
Thunderbolt	Weatherlight	
Deathgrip	Fourth Edition	
Deathgrip	Fourth Edition	
Fallen Askari	Visions	
Fallen Askari	Visions	
Fallen Askari	Visions	
Fallen Askari	Visions	
Void Snare	Magic 2015 (M15)	
Void Snare	Magic 2015 (M15)	
Void Snare	Magic 2015 (M15)	
Dismal Backwater	Khans of Tarkir	
Set Adrift	Khans of Tarkir	
Sultai Soothsayer	Khans of Tarkir	
Stream of Life	Fourth Edition	
Stream of Life	Fourth Edition	
Stream of Life	Fourth Edition	
Oasis	Fourth Edition	
Oasis	Fourth Edition	
Oasis	Fourth Edition	
Oasis	Fourth Edition	
Arcum's Whistle	Ice Age	
Brass-Talon Chimera	Visions	
Jabari's Banner	Weatherlight	
Magma Mine	Visions	
Mana Prism	Mirage	
Matopi Golem	Visions	
Unerring Sling	Mirage	
Patagia Golem	Mirage	
Rod of Ruin	Fifth Edition	
Sand Golem	Mirage	
Shield of the Ages	Ice Age	
Telim'Tor's Darts	Mirage	
Watchdog	Tempest	
Jungle Troll	Mirage	
Radiant Essence	Mirage	
Radiant Essence	Mirage	
Ranger en-Vec	Tempest	
Scalebane's Elite	Visions	
Spatial Binding	Mirage	
Spatial Binding	Mirage	
Double-Sided Card Checklist	Innistrad	
Spirit Warrior Token	Khans of Tarkir	
Warrior Token (Pike)	Khans of Tarkir	
Warrior Token (Pike)	Khans of Tarkir	
Dauthi Marauder	Tempest	
Warrior Token (Pike)	Khans of Tarkir	
Dismal Backwater	Khans of Tarkir	
Dismal Backwater	Khans of Tarkir	
Coercion	Visions	
Coercion	Visions	
Soul Rend	Mirage	
Soul Rend	Mirage	
Dismal Backwater	Khans of Tarkir	
Dismal Backwater	Khans of Tarkir	
Yoked Ox	Magic Origins	
Anchor to the Aether	Magic Origins	
Ghoulcaller's Bell	Innistrad	
Ghoulcaller's Bell	Innistrad	
Ghoulcaller's Bell	Innistrad	
Ghoulcaller's Bell	Innistrad	
Aethersnipe	Modern Masters 2015	
Kavu Primarch	Modern Masters 2015	
Deathmark	Modern Masters 2015	
Tukatongue Thallid	Modern Masters 2015	
Rot Shambler	Battle for Zendikar	
Rot Shambler	Battle for Zendikar	
Rot Shambler	Battle for Zendikar	
Leonin Relic-Warder	Mirrodin Besieged	
Leonin Relic-Warder	Mirrodin Besieged	
Leonin Relic-Warder	Mirrodin Besieged	
Rot Shambler	Battle for Zendikar	
Plated Crusher	Battle for Zendikar	
Rolling Thunder	Battle for Zendikar	
Encircling Fissure	Battle for Zendikar	
Leonin Relic-Warder	Mirrodin Besieged	
Tajuru Beastmaster	Battle for Zendikar	
Tajuru Beastmaster	Battle for Zendikar	
Dragon's Eye Savants	Khans of Tarkir	
Dismal Backwater	Khans of Tarkir	
Dismal Backwater	Khans of Tarkir	
Dismal Backwater	Khans of Tarkir	
Dazzling Reflection	Oath of the Gatewatch	
Dazzling Reflection	Oath of the Gatewatch	
Dazzling Reflection	Oath of the Gatewatch	
Birthing Hulk	Oath of the Gatewatch	
Tundra Wolves	Legends	
Tundra Wolves	Legends	
Tundra Wolves	Legends	
Evolving Wilds	Commander 2013	
Thraben Gargoyle	Shadows Over Innistrad	
Breath of Malfegor	Alara Reborn	
Bloodfell Caves	Fate Reforged	Foil
Bloodfell Caves	Fate Reforged	
Bloodfell Caves	Fate Reforged	
Jungle Hollow	Khans of Tarkir	
Jungle Hollow	Khans of Tarkir	
Jungle Hollow	Khans of Tarkir	
Rakdos Guildgate	Dragon's Maze	
Paranoid Delusions	Gatecrash	
Stormchaser Chimera	Journey into Nyx	
Oreskos Swiftclaw	Journey into Nyx	
Cloudfin Raptor	Gatecrash	
Retraction Helix	Born of the Gods	
War-Wing Siren	Journey into Nyx	
Thoughtrender Lamia	Journey into Nyx	
Dragon Fodder	Dragons of Tarkir	
Dragon Fodder	Dragons of Tarkir	
Lightning Strike	Magic 2015 (M15)	
Lightning Volley	Born of the Gods	
Sundering Growth	Return to Ravnica	
Feed the Clan	Khans of Tarkir	
Kruphix's Insight	Journey into Nyx	
Seek the Horizon	Khans of Tarkir	
Windstorm	Khans of Tarkir	
Windstorm	Khans of Tarkir	
Windstorm	Khans of Tarkir	
Jolt	Mirage	
Jolt	Mirage	
Jolt	Mirage	
Jolt	Mirage	
Labyrinth Minotaur	Homelands	
Labyrinth Minotaur	Homelands	
Labyrinth Minotaur	Homelands	
Labyrinth Minotaur	Homelands	
Labyrinth Minotaur	Homelands	
Labyrinth Minotaur	Homelands	
Memory Lapse	Homelands	
Memory Lapse	Homelands	
Memory Lapse	Homelands	
Mystic Veil	Visions	
Power Sink	Mirage	
Power Sink	Mirage	
Psychic Venom	Fourth Edition	
Psychic Venom	Fourth Edition	
Psychic Venom	Fourth Edition	
Psychic Venom	Fourth Edition	
Reality Ripple	Mirage	
Reef Pirates	Homelands	
Rootwater Mystic	Exodus	
Rootwater Mystic	Exodus	
Sindbad	Fourth Edition	
Siren's Call	Revised Edition	
Teferi's Curse	Mirage	
Teferi's Curse	Mirage	
Teferi's Curse	Mirage	
Twiddle	Fifth Edition	
Zuran Enchanter	Ice Age	
Apes of Rath	Tempest	
Apes of Rath	Tempest	
Apes of Rath	Tempest	
Avenging Druid	Exodus	
Avenging Druid	Exodus	
Avenging Druid	Exodus	
Barbed Foliage	Mirage	
Broken Fall	Tempest	
Broken Fall	Tempest	
Broken Fall	Tempest	
Broken Fall	Tempest	
Broken Fall	Tempest	
Crumble	Fourth Edition	
Elvish Hunter (Maddocks)	Fallen Empires	
Foratog	Mirage	
Nurturing Licid	Tempest	
Radjan Spirit	Fourth Edition	
Respite	Tempest	
Respite	Tempest	
Trumpeting Armodon	Tempest	
Blood Pet	Tempest	
Blood Pet	Tempest	
Cat Burglar	Exodus	
Cemetery Gate	Homelands	
Cemetery Gate	Homelands	
Death Watch	Visions	
Death Watch	Visions	
Dread Specter	Mirage	
Dread Specter	Mirage	
Dread Specter	Mirage	
Drudge Skeletons	Fourth Edition	
Drudge Skeletons	Fourth Edition	
Drudge Skeletons	Fourth Edition	
Dry Spell	Homelands	
Dry Spell	Homelands	
Dry Spell	Homelands	
Howl from Beyond	Ice Age	
Howl from Beyond	Ice Age	
Leeching Licid	Tempest	
Leeching Licid	Tempest	
Lost Soul	Fourth Edition	
Lost Soul	Fourth Edition	
Lost Soul	Fourth Edition	
Lost Soul	Fourth Edition	
Seizures	Ice Age	
Sengir Bats	Homelands	
Sengir Bats	Homelands	
Sengir Bats	Homelands	
Sengir Bats	Homelands	
Vampirism	Visions	
Aliban's Tower	Homelands	
Aliban's Tower	Homelands	
Aliban's Tower	Homelands	
Anaba Shaman	Homelands	
Ambush Party	Homelands	
Ambush Party	Homelands	
Ambush Party	Homelands	
Ambush Party	Homelands	
Anaba Shaman	Homelands	
Anaba Shaman	Homelands	
Anaba Shaman	Homelands	
Burrowing	Fourth Edition	
Crimson Roc	Mirage	
Crown of Flames	Tempest	
Crown of Flames	Tempest	
Crown of Flames	Tempest	
Crown of Flames	Tempest	
Crown of Flames	Tempest	
Detonate	Fourth Edition	
Detonate	Fourth Edition	
Detonate	Fourth Edition	
Fire Elemental	Fourth Edition	
Fireslinger	Tempest	
Fireslinger	Tempest	
Fireslinger	Tempest	
Fissure	Fourth Edition	
Fissure	Fourth Edition	
Fissure	Fourth Edition	
Flowstone Salamander	Tempest	
Goblin Swine-Rider	Visions	
Hurloon Minotaur	Fifth Edition	
Hurloon Minotaur	Fifth Edition	
Orcish Artillery	Fourth Edition	
Orcish Conscripts	Ice Age	
Orcish Conscripts	Ice Age	
Orcish Conscripts	Ice Age	
Panic	Ice Age	
Reckless Ogre	Exodus	
Spitting Earth	Mirage	
Spitting Earth	Mirage	
Spitting Earth	Mirage	
Tahngarth's Rage	Tempest	
Talruum Piper	Visions	
Tunnel	Fourth Edition	
Amrou Kithkin	Fourth Edition	
Amrou Kithkin	Fourth Edition	
Amrou Kithkin	Fourth Edition	
Benevolent Unicorn	Mirage	
Blinding Light	Mirage	
Benevolent Unicorn	Mirage	
Blue Ward	Fourth Edition	
Daraja Griffin	Visions	
Disenchant	Fourth Edition	
Disenchant	Fourth Edition	
Disenchant	Fourth Edition	
Disenchant	Fourth Edition	
Farrel's Mantle	Fallen Empires	
Fortified Area	Fourth Edition	
Fortified Area	Fourth Edition	
Green Ward	Fourth Edition	
Gossamer Chains	Visions	
Kjeldoran Warrior	Ice Age	
Quickening Licid	Tempest	
Reaping the Rewards	Exodus	
Red Ward	Fourth Edition	
Visions	Fourth Edition	
Ward of Lights	Mirage	
Ward of Lights	Mirage	
Ward of Lights	Mirage	
Ward of Lights	Mirage	
Thunderous Might	Born of the Gods	
Zhur-Taa Druid	Dragon's Maze	
Profit // Loss	Dragon's Maze	
Cunning	Exodus	
Dream Cache	Tempest	
Dream Cache	Tempest	
Dream Cache	Tempest	
Dream Cache	Tempest	
Disintegrate	Fifth Edition	
Disintegrate	Fifth Edition	
Disintegrate	Fourth Edition	
Disintegrate	Fourth Edition	
Disintegrate	Fourth Edition	
Disintegrate	Fourth Edition	
Shatter	Ice Age	
Shatter	Ice Age	
Blood Pet	Tempest	
Blood Pet	Tempest	
Blood Pet	Tempest	
Jungle Hollow	Khans of Tarkir	
Reclaim	Exodus	
Fog	Fifth Edition	
Foratog	Mirage	
Foratog	Mirage	
Reclaim	Exodus	
Brass Man	Fourth Edition	
Brass Man	Fourth Edition	
Brass Man	Fourth Edition	
Brass Man	Fourth Edition	
Clockwork Swarm	Homelands	
Clockwork Swarm	Homelands	
Conservator	Fourth Edition	
Delif's Cone	Fallen Empires	
Delif's Cone	Fallen Empires	
Ebony Rhino	Homelands	
Ersatz Gnomes	Mirage	
Ivory Cup	Fourth Edition	
Manakin	Tempest	
Manakin	Tempest	
Manakin	Tempest	
Manakin	Tempest	
Mogg Cannon	Tempest	
Mogg Cannon	Tempest	
Mogg Cannon	Tempest	
Rod of Ruin	Fourth Edition	
Throne of Bone	Fourth Edition	
Wooden Sphere	Fourth Edition	
Nantuko Husk	Magic Origins	
Cruel Revival	Magic Origins	
Nantuko Husk	Magic Origins	
Kytheon's Tactics	Magic Origins	
Read the Bones	Magic Origins	
Bear Token	Khans of Tarkir	
Aven Fisher	Tenth Edition	
Air Elemental	Revised Edition	
Air Elemental	Revised Edition	
Air Elemental	Revised Edition	
Steal Artifact	Revised Edition	
Steal Artifact	Revised Edition	
Steal Artifact	Revised Edition	
Steal Artifact	Revised Edition	
Evolving Wilds	Dark Ascension	
Evolving Wilds	Dark Ascension	
Evolving Wilds	Dark Ascension	
Evolving Wilds	Dark Ascension	
Evolving Wilds	Dark Ascension	
Evolving Wilds	Dark Ascension	
Evolving Wilds	Dark Ascension	
Evolving Wilds	Dark Ascension	
Dark Banishing	Ice Age	
Nantuko Husk	Magic Origins	
Copper Carapace	Modern Masters 2015	
Cloud Elemental	Modern Masters 2015	
Moonlit Strider	Modern Masters 2015	
Instill Infection	Modern Masters 2015	
Sylvan Bounty	Modern Masters 2015	
Scuttling Death	Modern Masters 2015	
Wrap in Flames	Modern Masters 2015	
Kitesail	Modern Masters 2015	
Wayfarer's Bauble	Modern Masters 2015	
Matca Rioters	Modern Masters 2015	
Blinding Souleater	Modern Masters 2015	
Duskhunter Bat	Modern Masters 2015	
Blades of Velis Vel	Modern Masters 2015	
Cathodion	Modern Masters 2015	
Eldrazi Scion Token (Velinov)	Battle for Zendikar	
Jungle Hollow	Khans of Tarkir	
Jungle Hollow	Khans of Tarkir	
Anticipate	Battle for Zendikar	
Knight Ally Token	Battle for Zendikar	
Knight Ally Token	Battle for Zendikar	
Unknown Shores	Oath of the Gatewatch	
Unknown Shores	Oath of the Gatewatch	
Seer's Lantern	Oath of the Gatewatch	
Slip Through Space	Oath of the Gatewatch	
Essence Depleter	Oath of the Gatewatch	
Oblivion Strike	Oath of the Gatewatch	
Oblivion Strike	Oath of the Gatewatch	
Natural State	Oath of the Gatewatch	
Natural State	Oath of the Gatewatch	
Weapons Trainer	Oath of the Gatewatch	
Weapons Trainer	Oath of the Gatewatch	
Ground Assault	Gatecrash	
Evolving Wilds	Dark Ascension	
Protect // Serve	Dragon's Maze	
Lunar Force	Eldritch Moon	
Lunar Force	Eldritch Moon	
Lunar Force	Eldritch Moon	
Lunar Force	Eldritch Moon	
Fortune's Favor	Eldritch Moon	
Wind Zendikon	Worldwake	
Wind Zendikon	Worldwake	
Wind Zendikon	Worldwake	
Bioshift	Gatecrash	
Bioshift	Gatecrash	
Rugged Highlands	Khans of Tarkir	
Thornwood Falls	Khans of Tarkir	
Thornwood Falls	Khans of Tarkir	
Tranquil Cove	Khans of Tarkir	
Swiftwater Cliffs	Khans of Tarkir	
Swiftwater Cliffs	Khans of Tarkir	
Swiftwater Cliffs	Khans of Tarkir	
Boros Keyrune	Gatecrash	
Glaring Aegis	Dragons of Tarkir	
Revoke Existence	Born of the Gods	
Cloaked Siren	Journey into Nyx	
Cloaked Siren	Journey into Nyx	
Disdainful Stroke	Khans of Tarkir	
Eternity Snare	Born of the Gods	
Jace's Ingenuity	Magic 2015 (M15)	
Sea God's Revenge	Theros	
Sphinx's Disciple	Born of the Gods	
Sphinx's Disciple	Born of the Gods	
Killing Glare	Gatecrash	
Dragon Mantle	Theros	
Flamespeaker Adept	Theros	
Lightning Diadem	Journey into Nyx	
Magma Spray	Journey into Nyx	
Sigiled Skink	Journey into Nyx	
Archweaver	Return to Ravnica	
Dragon-Scarred Bear	Dragons of Tarkir	
Market Festival	Journey into Nyx	
Noble Quarry	Born of the Gods	
Slime Molding	Return to Ravnica	
Illusionary Forces	Ice Age	
Lifetap	Fourth Edition	
Manta Riders	Tempest	
Manta Riders	Tempest	
Manta Riders	Tempest	
Manta Riders	Tempest	
Phantasmal Forces	Fourth Edition	
Ray of Erasure	Ice Age	
Crash of Rhinos	Mirage	
Elven Riders	Fourth Edition	
Femeref Archers	Mirage	
Femeref Archers	Mirage	
Sabertooth Cobra	Mirage	
Sabertooth Cobra	Mirage	
Sabertooth Cobra	Mirage	
Sabertooth Cobra	Mirage	
Spike Drone	Tempest	
Spike Drone	Tempest	
Spike Drone	Tempest	
Tarpan	Ice Age	
Tranquility	Revised Edition	
Uktabi Faerie	Mirage	
Uktabi Faerie	Mirage	
Willow Faerie	Homelands	
Willow Faerie	Homelands	
Willow Faerie	Homelands	
Barbed-Back Wurm	Mirage	
Bog Rats	Chronicles	
Bog Rats	Chronicles	
Breathstealer	Mirage	
Breathstealer	Mirage	
Carrion Ants	Fourth Edition	
Carrion Ants	Fourth Edition	
Carrion Ants	Fourth Edition	
Carrion Ants	Fourth Edition	
Feast of the Unicorn	Homelands	
Krovikan Elementalist	Ice Age	
Nausea	Exodus	
Scavenging Ghoul	Fourth Edition	
Scavenging Ghoul	Fourth Edition	
Screeching Harpy	Tempest	
Torture	Homelands	
Torture	Homelands	
Torture	Homelands	
Torture	Homelands	
Ali Baba	Fourth Edition	
Beasts of Bogardan	Chronicles	
Cave People	Fourth Edition	
Cinder Wall	Weatherlight	
Cinder Wall	Weatherlight	
Dwarven Trader	Homelands	
Dwarven Trader	Homelands	
Dwarven Trader	Homelands	
Fire Drake	Chronicles	
Flame Spirit	Ice Age	
Furnace Brood	Exodus	
Keeper of Kookus	Visions	
Onslaught	Exodus	
Sabretooth Tiger	Ice Age	
Sabretooth Tiger	Ice Age	
Uthden Troll	Fourth Edition	
Wall of Opposition	Chronicles	
Aysen Bureaucrats	Homelands	
Aysen Bureaucrats	Homelands	
Aysen Bureaucrats	Homelands	
Civic Guildmage	Mirage	
Civic Guildmage	Mirage	
Civic Guildmage	Mirage	
Cold Snap	Ice Age	
Samite Alchemist	Homelands	
Soul Shepherd	Weatherlight	
Trade Caravan	Homelands	
Trade Caravan	Homelands	
Trade Caravan	Homelands	
Trade Caravan	Homelands	
Wall of Swords	Fourth Edition	
Bloodhunter Bat	Magic 2013 (M13)	
Timberpack Wolf	Magic 2013 (M13)	
Bronzebeak Moa	Dragon's Maze	
Air Elemental	Fourth Edition	
Animate Artifact	Fourth Edition	
Boomerang	Chronicles	
Boomerang	Chronicles	
Cerulean Wyvern	Mirage	
Cerulean Wyvern	Mirage	
Coral Reef	Homelands	
Dark Maze	Homelands	
Dark Maze	Homelands	
Dark Maze	Homelands	
Dark Maze	Homelands	
Ether Well	Mirage	
Giant Albatross	Homelands	
Giant Albatross	Homelands	
Harmattan Efreet	Mirage	
Harmattan Efreet	Mirage	
Active Volcano	Chronicles	
Dizzying Gaze	Exodus	
Dizzying Gaze	Exodus	
Gloom	Fourth Edition	
Gloom	Fourth Edition	
Gloom	Fourth Edition	
Drain Life	Fourth Edition	
Drain Life	Fourth Edition	
Drain Life	Fourth Edition	
Battle Mastery	Magic 2015 (M15)	
Geist of the Moors	Magic 2015 (M15)	
Rogue's Gloves	Magic 2015 (M15)	
Cloud Elemental	Visions	
Cloud Elemental	Visions	
Cloud Elemental	Visions	
Cloud Elemental	Visions	
Thornwood Falls	Khans of Tarkir	
Giant Growth	Fourth Edition	
Chariot of the Sun	Mirage	
Crystal Golem	Mirage	
Crystal Rod	Fourth Edition	
Horrible Hordes	Mirage	
Horrible Hordes	Mirage	
Horrible Hordes	Mirage	
Igneous Golem	Mirage	
Igneous Golem	Mirage	
Malicious Advice	Planeshift	
Harbor Guardian	Mirage	
Harbor Guardian	Mirage	
Hazerider Drake	Mirage	
Segmented Wurm	Tempest	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
Squid Token	Magic 2015 (M15)	
